,identifier,Alignment ID,Average Mz,Average Rt(min),duplicate_flag,adduct_flag,isotope_flag,isotope_phr,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,SA1,SA2,SA3,SA4,SA5,SB1,SB2,SB3,SB4,SB5
19,0.48_131.97,921,131.9743,0.478,,,,,Unknown,[M+H]+,,0.7,False,,,,,,,999,False,False,False,,False,False,,,,,,,,18.68,SA1,131.97435:372676 132.9777:0 133.98106:0,,372675.53,253632.6,247963.27,212905.11,276554.34,287099.4,319522.47,248387.86,198441.42,248937.95
20,0.48_105.96,185,105.9631,0.479,,,,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.46,SA1,105.96313:123170 106.96648:0 107.96984:0,,123170.16,54392.84,53106.58,61822.31,63885.93,43423.6,48141.1,55822.23,59997.35,38210.64
21,0.48_132.54,934,132.5418,0.479,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.29,SA1,132.54176:755188 133.54511:0 134.54847:145435,,755188.06,600538.06,569220.1,511505.2,443836.16,572387.94,517862.84,374044.84,330679.75,375737.28
22,0.48_172.96,1879,172.9569,0.480,,,,,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,17.78,SA1,172.95688:1176678 173.96023:0 174.96359:297564,,1176678.4,799837.3,751304.0,693423.4,766613.9,906539.44,815879.4,609453.25,369354.2,551577.2
23,0.48_113.96,428,113.9636,0.481,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,12.99,SA1,113.96356:1419822 114.96691:0 115.97027:148665,,1419822.5,1017478.4,923789.1,940720.9,1101677.2,1227051.9,1161253.1,943568.3,962857.6,878766.5
24,0.48_112.02,356,112.0178,0.482,,,Match #030,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,9.96,SA1,112.01783:1280501 113.02118:136616 114.02454:147829,,1280500.6,710407.06,782686.4,781432.8,783534.2,890913.44,912893.7,676149.5,591350.9,623372.44
25,0.48_196.02,2535,196.0171,0.483,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,3.78,SB2,196.01711:1673975 197.02046:0 198.02382:1283723,,2018224.8,1353969.5,1319893.4,1189850.9,1319198.1,1631223.2,1673974.6,1299696.4,1187884.4,1261061.6
26,0.48_224.01,3504,224.0116,0.485,,,Match #312,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.71,SA1,224.01163:2828653 225.01498:185798 226.01834:1155714,,2828653.2,1609214.1,1645184.0,1636029.2,1912115.8,2068050.5,1877478.1,1602119.4,1515663.5,1403041.0
27,0.48_306.89,7778,306.8855,0.485,Match #1261,,,,Unknown,[M+Na]+,adduct linked to 7534_[M+NH4]+,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,10.92,SA1,306.8855:276024 307.88885:0 308.89221:0,,276023.75,181695.98,137966.55,142102.98,123623.61,160739.11,25325.23,37843.88,49880.64,55305.06
28,0.48_215.98,3204,215.9802,0.485,,,Match #290,,w/o MS2:2-Benzothiazolsulfonic acid; LC-ESI-ITFT; MS2; CE,[M+H]+,similar chromatogram in higher mz_5727,0.5,False,,215.97836,C7H5NO3S2,Benzothiazoles,ZCXGMSGCBDSEOY-UHFFFAOYSA-N,OS(=O)(=O)C1=NC2=CC=CC=C2S1,530,True,True,False,,False,False,,,98.3,,,,,8.03,SA1,215.98024:437772 216.98359:0 217.98695:476312,,437772.3,275671.88,266201.62,284011.38,317402.44,353658.6,327537.2,246692.56,101735.08,191448.83
29,0.49_270.03,5665,270.0301,0.486,Match #941: Possible duplicate of 0.55_270.03 (0.0%),,,,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,4.08,SA5,270.03009:158969 271.03344:0 272.0368:0,,122456.05,79962.52,121749.28,129992.97,158968.98,154087.89,72324.81,29267.79,38081.07,61709.2
30,0.49_270.96,5729,270.9645,0.487,Match #950,,,,Unknown,[M+Na]+,adduct linked to 5461_[M+NH4]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,56.09,SA1,270.96448:894586 271.96783:127490 272.97119:389110,,894585.9,487973.8,504363.47,556571.75,519536.03,598149.75,579859.7,572208.9,502521.6,593658.0
31,0.49_141.96,1128,141.9584,0.487,,,,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,11.57,SA1,141.95837:1081424 142.96172:0 143.96508:0,,1081424.1,744488.0,770861.3,728367.75,979998.4,847488.94,1037311.06,613633.4,478816.9,555723.6
32,0.49_198.01,2600,198.0110,0.488,Match #398: Possible duplicate of 0.55_198.01 (0.0%),,,,Unknown,[M+NH4]+,adduct linked to 2088_[M+H]+,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,14.55,SB3,198.01102:1358799 199.01437:0 200.01773:477062,,1161937.8,1029184.1,1129119.9,1070677.1,935859.7,1304296.9,1278156.5,1358799.0,1184307.5,1395373.6
33,0.49_319.92,8579,319.9156,0.488,,,Match #734,,Unknown,[M+NH4]+,adduct linked to 7589_[M+H]+,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,16.83,SA5,319.91556:423348 320.91891:173586 321.92227:0,,399901.3,272487.56,389920.0,311560.16,423348.47,268139.3,263006.5,190770.55,232074.64,228709.7
34,0.49_182.99,2156,182.9856,0.488,Match #317: Possible duplicate of 0.55_182.99 (0.0%),,Match #189,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,32.29,SA1,182.98558:18312144 183.98893:788872 184.99229:2007461,,18312144.0,11446796.0,11925514.0,10387352.0,12403629.0,13921347.0,13110749.0,10344893.0,10390035.0,8443148.0
35,0.49_401.87,12942,401.8750,0.489,,,,,Unknown,[M+H]+,,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,15.99,SB2,401.87497:235198 402.87832:0 403.88168:0,,108684.7,151667.8,62123.54,74475.7,128262.45,182223.69,235198.25,168963.06,53295.75,101285.19
36,0.49_400.92,12904,400.9232,0.489,,,,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,6.42,SB2,400.92322:153424 401.92657:0 402.92993:0,,90127.73,66611.92,78125.66,58816.39,41940.27,121051.51,153424.16,89765.48,90413.61,66316.36
37,0.49_302.92,7589,302.9152,0.491,,,,,Unknown,[M+H]+,adduct linked to 8579_[M+NH4]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,17.91,SA2,302.91519:725242 303.91854:0 304.9219:0,,714653.25,725242.5,590467.1,426322.34,585413.5,566728.6,637971.8,341698.34,342181.78,357310.78
38,0.49_357.94,10685,357.9403,0.492,,,,,Unknown,[M+H]+,,0.7,False,,,,,,,999,False,False,False,,False,False,,,,,,,,10.46,SA1,357.94034:628060 358.94369:0 359.94705:0,,628059.94,266873.62,174367.22,228863.0,239923.58,241804.34,246415.72,82793.95,248333.11,47443.71
39,0.49_213.98,3122,213.9830,0.492,,,"Match #290: 0.48_215.98 = [M+H+2] w/ R^2 = 0.637, dRT = 0.007, PHR = 0.323 +/- 0.148",0.3231322293250341,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,9.64,SA1,213.98303:1646321 214.98638:45048 215.98974:424030,,1646320.9,1103540.4,1113868.9,1020489.0,630853.8,1290928.8,1147231.4,949417.0,566642.56,274935.0
40,0.49_442.90,14952,442.8981,0.493,,,,,Unknown,[M+Na]+,adduct linked to 14724_[M+NH4]+,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,20.28,SB5,442.89807:828880 443.90142:0 444.90478:0,,102556.31,296885.97,265427.25,296547.8,168319.38,98073.91,284294.28,416163.66,81050.82,828879.5
41,0.49_276.03,6017,276.0271,0.493,,,,,Unknown,[M+2H]2+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,17.88,SA2,276.0271:642897 277.03045:0 278.03381:0,,607626.75,642896.75,487668.8,446007.53,554780.8,495125.2,470757.88,461963.72,530791.56,440176.9
42,0.49_266.02,5461,266.0173,0.493,,,,,Unknown,[M+NH4]+,adduct linked to 5729_[M+Na]+,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,7.21,SA1,266.01727:359974 267.02062:675788 268.02398:0,,359974.1,96857.15,92360.84,147231.03,161922.75,201091.1,278126.12,188730.95,233209.06,210542.67
43,0.49_151.95,1345,151.9496,0.494,,,,,Unknown,[M+Na]+,adduct linked to 846_[M+H]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,33.69,SA1,151.9496:570615 152.95295:0 153.95631:0,,570615.1,435662.84,355562.4,486994.28,323542.2,555175.56,304042.75,298851.7,209685.4,159799.55
44,0.49_112.54,375,112.5390,0.494,,,Match #023,,Unknown,[M+H]+,similar chromatogram in higher mz_8435,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,115.54,SB4,112.53902:8623171 113.54237:1308377 114.54573:1763629,,3116361.2,4842402.0,4759598.5,6341643.0,5707967.0,2960898.0,7197734.5,7312843.5,8623171.0,8513012.0
45,0.49_125.52,730,125.5250,0.494,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,83.83,SA2,125.52499:1808359 126.52834:24195 127.5317:14136127,,705645.2,1808359.0,1602139.5,1372625.0,1595877.2,569762.44,1238613.8,1063525.6,1267599.8,1429831.4
46,0.49_207.98,2915,207.9849,0.495,Match #457,,,,Unknown,[M+NH4]+,adduct linked to 2391_[M+H]+,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,125.41,SA2,207.98494:2110970 208.98829:583725 209.99165:0,,1495871.8,2110970.5,2099341.2,2057927.6,2144072.5,1291912.5,1871909.6,2052788.1,1842328.8,2230144.8
47,0.49_263.93,5361,263.9268,0.495,Match #879: Possible duplicate of 0.55_263.93 (0.0%),,Match #467,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,11.09,SA3,263.92682:413024 264.93017:0 265.93353:0,,405380.53,307694.47,413023.94,123340.75,278422.16,322024.53,261232.0,115280.94,323102.06,292997.88
48,0.49_255.02,4905,255.0215,0.495,Match #800,,,,Unknown,[M+H]+,,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,17.69,SA3,255.02151:1062946 256.02486:0 257.02822:0,,311335.0,1057844.2,1062945.5,1030128.94,959886.9,133819.92,738628.56,911444.9,775660.25,784271.2
49,0.50_375.88,11639,375.8752,0.496,Match #1799: Possible duplicate of 0.54_375.87 (0.0%),,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,51.98,SB1,375.87515:589503 376.8785:0 377.88186:0,,534843.2,523968.3,475190.25,466584.7,494754.97,589502.75,536204.1,546039.94,415850.66,436264.75
50,0.50_127.54,786,127.5444,0.496,,,Match #053,,Unknown,[M+H]+,ion correlated with 209; ion correlated with 399,0.8,False,,,,,,,999,False,False,False,,False,False,,,,,,,,215.25,SA1,127.54444:18693248 128.54779:0 129.55115:3613281,,18693248.0,12502871.0,11302928.0,10598844.0,10207448.0,10300850.0,7995027.0,6838259.5,6491190.0,6792750.0
51,0.50_245.92,4526,245.9159,0.496,Match #743,,,,Unknown,[M+H]+,,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,9.54,SA1,245.91591:621235 246.91926:0 247.92262:0,,621234.9,466546.0,499152.28,376828.38,475865.1,532951.9,290545.06,329969.72,298770.66,373723.44
52,0.50_107.03,209,107.0310,0.496,,Match #001: M-H] -> [M+Cl] (0.50_143.01) w/ R^2 = 0.054,Match #009,,Unknown,[M+NH4]2+,ion correlated with 786; adduct linked to 2573_[M+H]+,0.9,False,,,,,,,999,False,False,False,,False,False,,,,,,,,169.47,SA1,107.03103:17307978 108.03438:0 109.03774:7620128,,17307978.0,12144965.0,10867419.0,8682544.0,9173716.0,8502079.0,7373879.5,7088789.5,6514451.5,6439485.5
53,0.50_131.12,898,131.1181,0.497,,,,,w/o MS2:N-Acetylputrescine; LC-ESI-QTOF; MS2; CE,[M+H]+,,1.0,False,,131.11789,C6H14N2O,Carboximidic acids,KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(O)=NCCCCN,530,True,True,False,,False,False,,,100.0,,,,,92.04,SB1,131.11812:7979597 132.12147:471074 133.12483:0,,6018599.5,3783498.8,2887372.2,2873992.0,2881904.8,7979597.0,7119295.0,6174732.5,6464443.5,6256691.5
54,0.50_114.56,463,114.5586,0.497,,,,,Unknown,[M+H]+,similar chromatogram in higher mz_12116; similar chromatogram in higher mz_9825; similar chromatogram in higher mz_18274; similar chromatogram in higher mz_12779; similar chromatogram in higher mz_1432; similar chromatogram in higher mz_3029,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,43.29,SB1,114.55858:1824605 115.56193:0 116.56529:0,,1772244.2,1078289.8,1139003.8,1221846.4,988001.2,1824605.2,1685213.8,1393196.8,1623286.0,1505662.2
55,0.50_376.02,11643,376.0199,0.497,Match #1800,,,,Unknown,[M+H]+,,0.4,False,,,,,,,999,False,False,False,,False,False,,,,,,,,191.29,SA4,376.01987:1278538 377.02322:0 378.02658:0,,1335681.1,1219320.9,1016792.1,1278538.2,1150444.0,1549264.5,1081088.5,1229536.8,1343337.8,1251301.5
56,0.50_166.42,1725,166.4216,0.498,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,22.33,SA1,166.4216:375725 167.42495:0 168.42831:0,,375724.75,311232.7,262381.78,294168.53,169094.25,416494.38,174290.56,250951.06,254607.08,326929.06
57,0.50_260.92,5207,260.9244,0.498,,,"Match #467: 0.49_263.93 = [M+H+3] w/ R^2 = 0.016, dRT = 0.003, PHR = 0.345 +/- 0.126",0.3453116064894511,Unknown,[M+H]+,adduct linked to 6419_[M+Na]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,12.28,SA1,260.92441:1042484 261.92776:0 262.93112:0,,1042483.94,819678.2,682838.1,799604.0,866949.5,913487.4,828584.1,837530.06,798792.8,734929.7
58,0.50_227.98,3750,227.9830,0.498,,,,,Unknown,[M+Na]+,adduct linked to 2867_[M+H]+,0.7,False,,,,,,,999,False,False,False,,False,False,,,,,,,,9.33,SB1,227.983:3866387 228.98635:173577 229.98971:23571,,3900906.8,908810.9,3226936.5,3288819.2,2477512.5,3866387.2,2277530.8,556743.1,2267133.0,2034641.4
59,0.50_188.02,2306,188.0234,0.498,Match #348,,,,Unknown,[M+NH4]+,adduct linked to 1821_[M+H]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,179.62,SB5,188.02338:7395030 189.02673:1558927 190.03009:1210775,,2954705.5,5269982.5,5303881.5,6011437.0,6157502.5,2875714.2,6495110.5,6351813.5,6927532.0,7395029.5
60,0.50_164.07,1666,164.0673,0.498,,,,,Unknown,[M+H]+,,0.7,False,,,,,,,999,False,False,False,,False,False,,,,,,,,411.52,SA1,164.06731:18335606 165.07066:1685302 166.07402:2006762,,18335606.0,12134875.0,10872893.0,11397918.0,11021416.0,15731315.0,15564286.0,14315824.0,14941294.0,15402633.0
61,0.50_317.98,8479,317.9804,0.499,,,,,Unknown,[M+NH4]+,adduct linked to 7488_[M+H]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,63.6,SB5,317.98038:2477590 318.98373:291518 319.98709:0,,1180450.6,1496962.2,1724607.1,1801608.4,1861305.5,824051.5,2249655.0,1866485.0,2027204.4,2477590.0
62,0.50_258.06,5077,258.0640,0.499,,,,,Unknown,[M+H]+,,0.3,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.27,SA1,258.064:266034 259.06735:0 260.07071:0,,266034.0,134973.56,173665.56,227224.72,96279.14,146585.08,174842.23,55390.63,105177.22,39411.85
63,0.50_329.95,9134,329.9467,0.499,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,37.16,SA1,329.94669:1552210 330.95004:0 331.9534:0,,1552209.9,847983.25,1087069.0,846061.1,777703.0,956253.8,904559.94,898323.75,733125.3,753535.06
64,0.50_218.03,3291,218.0339,0.499,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,172.05,SA1,218.03386:19794636 219.03721:1444073 220.04057:207415,,19794636.0,15068389.0,13515487.0,11983890.0,11382689.0,10287938.0,9314627.0,9147170.0,8559432.0,8449756.0
65,0.50_180.98,2088,180.9841,0.499,,,"Match #189: 0.49_182.99 = [M+H+2] w/ R^2 = 0.418, dRT = 0.011, PHR = 4.793 +/- 2.368",4.792780151850127,Unknown,[M+H]+,adduct linked to 2600_[M+NH4]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,71.93,SA5,180.98413:3406533 181.98748:1631944 182.99084:12172829,,1960153.9,2671004.2,3016813.5,3048433.2,3406532.8,1456919.2,3114762.8,3043841.0,3027441.5,3123279.2
66,0.50_286.94,6678,286.9426,0.499,Match #1108,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,250.22,SA1,286.94257:4997881 287.94592:226352 288.94928:2127001,,4997881.0,4077258.2,4527257.5,3657101.5,4133812.5,4095050.2,4126250.2,3913474.5,3704337.0,4084889.2
67,0.50_141.04,1121,141.0409,0.499,,,,,Unknown,[M+2H]2+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,244.84,SB5,141.04092:42844108 142.04427:3583598 143.04763:3703846,,18851482.0,31566610.0,32846100.0,36081516.0,36552928.0,20257146.0,34250076.0,37032560.0,39681900.0,42844108.0
68,0.50_366.95,11146,366.9480,0.499,,,,,Unknown,[M+H]+,,0.6,False,,,,,,,999,False,False,False,,False,False,,,,,,,,15.68,SA1,366.94797:562207 367.95132:0 368.95468:0,,562206.56,271549.03,252569.78,263631.44,311324.44,348841.47,125821.96,195794.4,237066.31,105228.59
69,0.50_100.01,2,100.0144,0.500,Match #001: Possible duplicate of 0.56_100.01 (0.0%) | Match #002,,,,Unknown,[M+H]2+,adduct linked to 3419_[M+Na]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,249.54,SB5,100.01443:20029132 101.01778:5193700 102.02114:576121280,,8001129.0,13925881.0,16331838.0,16200029.0,18298616.0,6891007.5,15492309.0,16130891.0,17702120.0,20029132.0
70,0.50_306.97,7782,306.9652,0.500,Match #1262,,,,Unknown,[M+Na]+,adduct linked to 6549_[M+H]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,51.95,SA2,306.96521:1369806 307.96856:242266 308.97192:0,,1320209.4,1369805.6,1091756.1,905395.94,976795.8,881052.75,742901.75,750766.25,654041.75,716394.0
71,0.50_416.90,13695,416.9006,0.500,,,,,Unknown,[M+H]+,,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,56.96,SA1,416.90057:1607587 417.90392:0 418.90728:831004,,1607586.8,1185484.5,1289890.0,1171012.1,1217246.2,1147786.9,970107.0,997903.8,964860.75,1396024.0
72,0.50_222.01,3419,222.0108,0.500,,,"Match #312: 0.48_224.01 = [M+H+2] w/ R^2 = 0.592, dRT = 0.015, PHR = 1.126 +/- 0.724",1.1262372570379564,Unknown,[M+Na]+,adduct linked to 2_[M+H]2+,0.5,False,,,,,,,999,False,False,False,,False,False,,,,,,,,29.12,SB5,222.0108:3002375 223.01415:361439 224.01751:568651,,940727.06,1687291.9,1883558.0,2236555.5,2437951.5,1108173.2,1616981.9,2022638.9,2421844.2,3002374.8
73,0.50_153.03,1372,153.0330,0.500,,,Match #113,,Unknown,[M+H]+,adduct linked to 1958_[M+Na]+,1.0,False,,,,,,,999,False,False,False,,False,False,,,,,,,,150.09,SA1,153.033:16747373 154.03635:410914 155.03971:0,,16747373.0,9494607.0,9556329.0,9295806.0,9769931.0,12459087.0,11553175.0,10261539.0,9750113.0,11038796.0
