Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Strain type]	Term Source REF	Term Accession Number
WT-5	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WT-5	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195
WT-6	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WT-6	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195
WRP-1	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WRP-1	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
WRP-2	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WRP-2	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
WRP-3	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WRP-3	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
WRP-4	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WRP-4	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
WRP-5	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WRP-5	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
WRP-6	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	WRP-6	phage-resistant	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
QC-1	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	QC-1	N/A	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
QC-2	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	QC-2	N/A	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
QC-3	Escherichia coli	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_562	Cell	GO	http://purl.obolibrary.org/obo/GO_0005623							Sample collection	QC-3	N/A	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder
