,Factor Value[Strain type],group,Uracil,Adenine,Hypoxanthine,Uridine,Creatinine,Adenosine,Cytosine,Inosine,Guanine,Tryptophan,Leucine,Guanosine,Choline,Isoleucine,Betaine,Valine,Alanine,Threonine,Nicotinamide riboside,Gamma-Aminobutyric acid,Glutamine,Oxaloacetate,Serine,Glucuronic acid,S-Adenosylhomocysteine,Citrulline,"1,4-Dihydronicotinamide adenine dinucleotide (NADH)",Flavin adenine dinucleotide (FAD),Flavin mononucleotide (FMN),Acetyl coenzyme A (Acetyl-CoA),ADP-ribose,Glycerol 3-phosphate,Dihydroxyacetone phosphate,D-Ribulose 5-phosphate,UDP-N-acetylglucosamine,N-Acetylglucosamine 1-phosphate,¦Â-Nicotinamide adenine dinucleotide (NAD),Fructose 6-phosphate,N-Acetylglucosamine 6-phosphate,Guanosine monophosphate (GMP),Phosphoenolpyruvate,D-Sedoheptulose 7-phosphate,3-Phosphoglycerate,Glutaryl-CoA,Succinyl-CoA,Uridine 5'-diphosphate,UDP-Glucuronate,6-Phosphogluconate,Adenosine-5'-triphosphate (ATP),Dihydronicotinamide-adenine dinucleotide phosphate (NADPH),Guanosine diphosphate (GDP),S-Adenosylmethionine,¦Â-Nicotinamide adenine dinucleotide phosphate (NADP),Oxidized glutathione,"Ribose 1,5-bisphosphate","Fructose 1,6-bisphosphate",Arginine,Ornithine,Lysine
WT-5,Wild Type,WT,26.243561008446594,21.701526015895677,22.944516999920193,18.70767224973469,15.08604759303256,19.48827267561777,21.508983306677482,22.8261753700737,21.692389234122828,22.064150120074537,23.629579809195242,17.988244655260825,19.2665097781869,23.068936747339883,20.1723309799156,24.163669344339503,23.630321274852097,23.918005146090934,21.292769223782308,20.07309559929977,21.628954321992374,27.316315998869896,22.63749320727028,18.256349012788792,16.688667829686864,20.67947897841303,20.265737524737435,19.54178065290905,21.59277252113718,18.145137948085505,20.192045033488963,19.98727549545517,18.14306629013228,22.457602502916615,19.066122468862698,20.987182600694197,21.445392695594553,24.99879773860071,16.380021007279044,20.13026661825424,23.567859232418847,23.767137955636287,20.94940077381083,18.13892225241716,21.413487945067377,23.324600099149684,14.400078179939719,19.27569311843112,20.414457939968784,24.925347343368784,20.988947074786207,23.347024970928985,24.63198572131881,26.879090708888775,21.768215117080462,20.392014779144052,24.383531791018758,25.163814137402053,21.347508468164477
WT-6,Wild Type,WT,26.313000315279105,21.76966959105173,22.850814798397437,19.02903610164693,15.184879001929646,19.63524067266185,21.652801752496565,22.7856938365276,21.75051788888375,21.888088538748367,23.64075774626753,18.566636567180225,19.175081517138356,23.085683376331534,20.150223345907776,24.1347663977264,23.57659599082969,24.656748569181147,21.549315492274303,20.02753010002394,21.67762083590044,27.364698090205007,22.743936687271134,18.383092662973468,16.978467690987504,20.889752206052236,20.481284631928702,19.66312727382663,21.898555307595863,18.558930871865183,20.02343459777217,20.811337622270308,18.270983805377117,22.790599968403036,19.20117040505686,21.30775349035553,21.48344472284314,25.359151430861996,16.644942133150828,20.3624435265538,23.450341102748492,23.86546780980058,21.56613478500957,18.253994339544214,21.861326250247792,23.472876318119337,14.765823831872005,19.401594673960293,20.58801701460582,25.119786519521234,21.147176840832582,23.278103999750908,24.88260608952525,27.16496836164535,21.88598199139728,20.455006897929923,24.136347737742962,25.155594322335826,21.37902328567402
WRP-1,phage-resistant,WRP,26.300835421679864,22.168726758396126,23.294613432446294,20.32758264253745,15.444333028191107,19.997876877062563,20.97226618266904,22.88708222244996,20.467014854943635,22.30936943500741,23.719181711513176,17.881815902505284,19.718195524556187,23.131470446072235,20.622749999980265,24.3596151661388,23.92118925284912,23.170348297792682,20.74070685900526,20.31884494516265,21.380204743137448,27.75817081157483,22.507036250538047,19.45744357515819,17.690702970100183,21.57679292581613,21.27853460741654,20.782587910886328,22.94817317054465,19.964090036808848,19.3489605619084,21.846354060803712,19.429401145412054,24.225151861103285,20.929153539218806,24.861151269063043,22.167207680281933,24.476709866070124,22.96750852554687,19.912763872474297,23.339209394229712,23.46842913401202,22.55294936555609,18.531939513492695,22.743622264798596,24.57748419278092,14.19865575623073,19.030311448055855,19.855949069911443,25.05090937967062,22.325093836877826,23.263761015775174,24.57950506584797,27.13489912182907,21.849596865661514,20.2052860749225,23.923154253101316,25.110834498261706,21.752034355327527
WRP-2,phage-resistant,WRP,25.720963535977845,21.54629707154648,22.77096127182642,19.76643235490329,14.971559959753694,19.546942492542343,20.357530804655923,22.56351598662724,20.95409923842651,22.145346103860675,23.462414555551174,18.692845127589816,18.789895912640436,22.863537970094974,19.892082385361256,24.0277553984341,23.782819157069106,22.425266956688983,20.825159732962444,19.34972221693256,20.41615270514929,26.971444854733246,22.97876145424845,19.62673977669808,17.824128982756058,21.992229759372943,21.756690351456246,21.549128367437554,23.21564729238977,20.300996907809168,19.465675549967948,20.69983080875323,19.211723075510598,24.529679736948044,20.932903499770127,24.675254871740606,21.871406797191998,24.80349678152649,22.56540649003893,20.433858408345774,23.20929732248143,23.532347843934993,22.716136201340422,18.785596614877,23.17166301120818,24.577484265389025,15.372300151691507,18.90811652827844,20.513478105922335,24.797936927562805,22.197671792473617,23.128927994313287,24.395487226882388,27.071021211402442,21.738745148825085,20.523335541885135,23.822342217669153,24.92377104906168,21.125779727600353
WRP-3,phage-resistant,WRP,26.928621950381174,21.612400936803905,22.695630739016643,20.38802499317009,15.195908606430576,19.592988133044717,21.427543258749886,22.586841306768665,20.91644014119358,21.96188970539389,23.431432472606794,18.151185594316335,18.819706812796635,22.853788736496973,20.114984151942153,23.995638483763724,23.499583958929012,24.627620681275182,20.957497861096194,19.916253625721314,20.854759040145755,27.129195014178194,22.845962430078142,19.130968227178602,17.11316013873946,21.313166306545924,21.02176408176387,20.582514783552885,22.729883743015073,19.068117939268873,19.537869618882404,20.503608311344877,18.63591140739274,24.086960519147436,21.840054743601105,24.74184669572348,21.33433665522576,25.120174836649564,22.7997309891974,18.352794921012705,23.613101152088618,23.899325491975112,21.936855271773307,18.440605451501508,22.47187117134336,24.57748423484752,15.447572457532162,18.917682912934218,20.585799977294638,24.800216836751744,22.561247699626964,23.221978456956048,24.523567763974217,27.230625123345444,21.791139241885002,20.51310466342147,23.82833449484232,24.916707607077594,21.084361654441683
WRP-4,phage-resistant,WRP,26.264914835903024,21.738011641361574,22.88056447260488,20.277840179879956,15.228776260736787,19.72117401041344,20.67187951714256,22.691616492315724,21.33451306231409,22.245316561983635,23.508786728562384,19.287348700626236,19.008123575651123,22.939836412758936,20.28393357132866,24.075104313246825,23.80383902292967,22.86811668467989,20.99537440437356,19.684610022584938,20.458025775348013,27.28281691490584,22.973362699480365,19.718030853703876,18.3233757055454,22.098948398111997,22.08478172939835,21.74750162255002,23.44756239101888,21.260674709043684,19.363086737062957,22.232784630502287,19.265793488936243,24.941165159611643,21.32173845848118,24.819982318235933,21.458024399647183,25.27474227830077,22.900040239547042,20.40912733615711,23.84221297280945,24.08614667252257,23.515057682162567,19.06551796793089,23.523149908143946,24.57748427921914,15.770342640729522,18.998297142068623,20.45938378690508,24.884762239482978,22.544999547611013,23.084820482278076,24.53306182974425,27.252569526774327,21.86445432049812,20.53327799442169,23.843097103064668,24.98775328435078,21.13173205003792
WRP-5,phage-resistant,WRP,26.27917532335074,21.59630696070812,22.860749315445858,19.72345793232756,14.892598917782484,19.58491913952843,20.830180679057783,22.656174648077545,21.32491023539984,22.38929199197212,23.623245631023288,18.13972383319466,18.962689297394043,23.005785448099537,19.92471550491564,24.125417464096625,23.939216520632066,23.362846120672252,20.767794084429294,19.11233216864378,20.5597289310406,27.229639555298892,24.439221720177443,19.59631185152534,18.55002807174981,22.39356616914239,21.752006612623056,22.018154760678406,22.903897999623556,21.846111783634043,19.823131313749844,20.965592993019456,19.40706973842815,24.879193459589864,21.17917539585503,24.555023969783836,23.91908628420199,24.661771282724658,22.544126645140235,20.187321094382877,23.37948290163167,23.591073196705175,22.921039076828688,19.33119550507149,23.390376595170682,24.577484229661227,15.307617230087208,18.938906347034756,20.36812474470038,25.068897069614295,22.25957568406472,23.108630667758426,24.499447777420766,27.084494415054174,21.776279504345872,20.554982588858916,23.871063126748375,25.06274470280911,21.507622395559018
WRP-6,phage-resistant,WRP,26.550057534436966,21.625762612752595,22.848911596336322,20.072541666357775,15.066421032290243,19.692201251727116,21.178896848696713,22.75102175623614,20.995243146925674,22.342733564884732,23.49547883858174,18.12225445199416,19.107140226510612,22.894372317683928,20.15466777723136,24.13106001516365,23.834033082424867,23.164285798999565,20.91932621354889,19.437412938266704,20.752819094201783,27.306248794419012,22.882471593995195,19.485622266219654,17.683399178385734,21.736801228413714,21.549799232742913,21.15914109687436,23.30331079309567,19.521187526686756,19.634062841102836,21.123664881208203,18.97709365198009,24.44988592296943,21.184351540172138,24.75177089299611,21.308277395796324,24.859657862566138,22.972795572638564,20.12501486329876,22.984989800763994,23.412205301665413,22.861892664011272,18.703487271568438,22.657683515998823,24.57748421064482,15.047740174231217,19.114615270217023,20.184220519352586,24.94178486788859,22.20423345902669,23.1555580335034,24.699383172141513,27.12559422145587,21.88369111586047,20.513770360954638,23.927331354071704,25.010521341035176,21.179958821473438
QC-1,,QC,26.32134754593528,21.571671862879327,22.778617213478853,19.417012149590256,14.920403135773759,19.583950721826792,21.33992841274862,22.85360053384593,21.425223015317563,22.258648056661045,23.579061980385855,18.41123744204277,18.927545658393015,23.01121374555483,19.89805746371051,24.272769911803817,23.86241892933848,23.29668350841619,21.128180862377132,19.427446616229254,21.391693328200823,27.494499287983658,22.525014430315085,19.695648575532584,17.515605331549803,21.481813192336602,21.160211993504635,20.693091965596828,23.041804908409272,19.490295629129548,19.63419301748744,21.48672779430411,18.600173239607,23.91640338935824,21.575022882322973,24.4276005497694,21.479946968632802,25.279908829316206,22.23228708860859,20.457053950373982,23.919253902578586,23.86468357785912,22.44239814310287,18.58025597095852,22.168310242263036,24.22370125422699,15.894391165635405,19.231149742067533,20.520428654090363,24.901283418465717,22.0026426108946,23.13221330736181,24.549963697153245,26.85300420030133,21.812288350595267,20.33914912917954,24.129098918114604,25.138991484111603,21.54374135488415
QC-2,,QC,26.288896560904394,21.510950605791834,22.68066408050836,19.251707958328538,14.838967487566048,19.414865943057745,21.458720876320132,22.64926834595946,21.45716617244571,21.986586756301612,23.500725232499683,18.279013707829613,18.899679527882,22.927496341745698,19.890537748030628,24.237881828975404,23.82546340903481,23.37927943388715,21.00024354264853,19.365190929429197,21.3365107417753,27.466966282075166,22.49465339357754,19.43629988741617,17.60369031549741,21.476897538093056,21.270515806482084,20.752141047315906,23.029486172818803,20.026037634186423,19.258364066370067,21.45181042028239,18.608950307294208,24.083634172669747,21.144735057830882,24.31456506546247,21.1875233062263,25.23731426582145,22.12130952093207,20.553840446703365,23.636009377920875,23.844580022545426,22.537315300814967,18.512758316630467,22.391136584132827,24.08982234017861,15.762227545997543,19.24960977950667,20.413315633704286,24.908194616034375,22.032496239747452,22.99115463995601,24.522202269142493,26.766706279219015,21.82096012862359,20.323570134272348,24.05154140652788,25.048572241692668,21.56398553716345
QC-3,,QC,26.28743636322622,21.55591937652592,22.731639310981308,19.379032663679517,14.882450039693268,19.459051556515256,21.346595119227455,22.766518173517962,21.382943398463063,22.060127287978634,23.57722424328292,18.39477999141263,18.910726891470922,22.996153561736726,19.92251282131869,24.265886586200676,23.86230571862717,23.338165947360043,21.087147651730906,19.368492181641233,21.329533448877445,27.48023050427461,22.51927714673792,19.544843302527035,17.579664695531083,21.50452809449945,21.303118976463903,20.85516976729703,22.900535745206604,19.79170341882909,19.341986222456967,21.503429889283634,18.498895869268985,24.068052057836354,21.167392028600702,24.395454258696127,21.401322567340554,25.189996754784396,22.236482577552138,20.451061425463116,23.402092045988475,23.771259196060086,22.499473138596056,18.503210010240135,22.31480680715683,24.219605178207136,15.895489408703934,19.2432204697812,20.385432660313846,24.898562190120813,21.983830167198185,23.03418692240043,24.639391038312716,26.869640166736467,21.813389555001606,20.330939741636065,24.065834686257634,25.097324225380678,21.513422887288595
